method,threshold,accuracy,balanced_accuracy,precision,recall,f1,specificity,g_mean,mcc,tn,fp,fn,tp,status,roc_auc,pr_auc,dataset,scenario,experiment,n_samples,ir,seed,fit_sec,predict_sec,total_sec
Baseline RF,0.5,0.9733333333333334,0.8553518416405083,0.9938524590163934,0.7111436950146628,0.8290598290598291,0.9995599882663537,0.843107812467983,0.8284730533816448,6815.0,3.0,197.0,485.0,ok,0.9903225376332616,0.9546341338762482,synthetic_scalability,n_samples=25000,scalability,25000,10,1,1.0115,0.0258,1.0373
RF (balanced_subsample),0.5,0.9682666666666667,0.8261729990219093,0.9977578475336323,0.6524926686217009,0.7890070921985816,0.9998533294221179,0.8077109428161353,0.7930736693504177,6817.0,1.0,237.0,445.0,ok,0.9939893020803137,0.9669000915386512,synthetic_scalability,n_samples=25000,scalability,25000,10,1,0.978,0.0261,1.0041
Class weight LogisticRegression,0.5,0.8769333333333333,0.868970484374207,0.41472045293701343,0.8592375366568915,0.5594272076372315,0.8787034320915225,0.8689159754788007,0.5425872396696126,5991.0,827.0,96.0,586.0,ok,0.945834039445353,0.7575443706297638,synthetic_scalability,n_samples=25000,scalability,25000,10,1,0.0179,0.0019,0.0198
Custom weighted log-loss LR,0.5,0.9252,0.8704453624139654,0.5620512820512821,0.8035190615835777,0.6614363307181653,0.9373716632443532,0.8678686531988237,0.6334061529568138,6391.0,427.0,134.0,548.0,ok,0.9456585508946905,0.7719646036347031,synthetic_scalability,n_samples=25000,scalability,25000,10,1,0.0194,0.0017,0.021
Random Oversampling + RF,0.5,0.978,0.8829910733103421,0.9886578449905482,0.7668621700879765,0.8637489677952106,0.9991199765327076,0.8753212629555621,0.8601297231837776,6812.0,6.0,159.0,523.0,ok,0.9947008264306404,0.9679043975899302,synthetic_scalability,n_samples=25000,scalability,25000,10,1,1.025,0.0374,1.0624
Random Undersampling + RF,0.5,0.9621333333333333,0.9534404788428767,0.7240990990990991,0.9428152492668622,0.8191082802547771,0.9640657084188912,0.9533812727301659,0.8070455799357286,6573.0,245.0,39.0,643.0,ok,0.9910571808796621,0.9545618197857072,synthetic_scalability,n_samples=25000,scalability,25000,10,1,0.2119,0.0262,0.2381
SMOTE + RF,0.5,0.9852,0.9331373567811271,0.9642276422764228,0.8695014662756598,0.9144178874325366,0.9967732472865943,0.9309649832620154,0.9077929239313847,6796.0,22.0,89.0,593.0,ok,0.9956189154291426,0.9732095969434609,synthetic_scalability,n_samples=25000,scalability,25000,10,1,1.572,0.0365,1.6085
Borderline-SMOTE + RF,0.5,0.984,0.9304979315577449,0.9546925566343042,0.8651026392961877,0.9076923076923077,0.9958932238193019,0.928197099964909,0.9002646116319506,6790.0,28.0,92.0,590.0,ok,0.9963931296232416,0.9727415047494672,synthetic_scalability,n_samples=25000,scalability,25000,10,1,1.5956,0.0374,1.633
ADASYN + RF,0.5,0.986,0.9388557888425412,0.9616,0.8812316715542522,0.9196633511859219,0.9964799061308302,0.9370857235866396,0.9130533472243627,6794.0,24.0,81.0,601.0,ok,0.9964149581623252,0.9720089216012016,synthetic_scalability,n_samples=25000,scalability,25000,10,1,1.6018,0.0369,1.6388
SMOTE-Tomek + RF,0.5,0.9852,0.9331373567811271,0.9642276422764228,0.8695014662756598,0.9144178874325366,0.9967732472865943,0.9309649832620154,0.9077929239313847,6796.0,22.0,89.0,593.0,ok,0.9956189154291426,0.9732095969434609,synthetic_scalability,n_samples=25000,scalability,25000,10,1,2.3718,0.0358,2.4076
SMOTE-ENN + RF,0.5,0.9841333333333333,0.9351898846334827,0.9461172741679873,0.875366568914956,0.9093678598629094,0.9950132003520094,0.9332744993929858,0.9015047843197211,6784.0,34.0,85.0,597.0,ok,0.9953927803666162,0.9699076920755131,synthetic_scalability,n_samples=25000,scalability,25000,10,1,2.3755,0.0364,2.4119
Balanced Bagging,0.5,0.9637333333333333,0.9378254387858944,0.7481840193704601,0.906158357771261,0.8196286472148541,0.969492519800528,0.9372906430846134,0.8042082948062185,6610.0,208.0,64.0,618.0,ok,0.9832589084096006,0.9134502640429087,synthetic_scalability,n_samples=25000,scalability,25000,10,1,0.4932,1.7428,2.236
Balanced Random Forest,0.5,0.9765333333333334,0.9409068112784083,0.8523676880222841,0.8973607038123167,0.8742857142857143,0.9844529187444998,0.939898592420828,0.8617005588482832,6712.0,106.0,70.0,612.0,ok,0.9921817269965909,0.954140445223471,synthetic_scalability,n_samples=25000,scalability,25000,10,1,0.4367,0.0373,0.474
EasyEnsemble,0.5,0.8864,0.8768165000529047,0.43703703703703706,0.8651026392961877,0.5807086614173228,0.8885303608096216,0.876738250694697,0.5639961647616036,6058.0,760.0,92.0,590.0,ok,0.9482136727947155,0.7455932851892453,synthetic_scalability,n_samples=25000,scalability,25000,10,1,1.1488,0.2113,1.3601
RUSBoost,0.5,0.8308,0.7518839212056407,0.30182309250506417,0.655425219941349,0.4133148404993065,0.8483426224699325,0.7456709394350676,0.3638408235939116,5784.0,1034.0,235.0,447.0,ok,0.8008386675257577,0.3561789131497172,synthetic_scalability,n_samples=25000,scalability,25000,10,1,0.0562,0.0022,0.0584
Baseline RF,0.5,0.9708,0.8473604457409187,0.9753593429158111,0.6964809384164223,0.8126603934987169,0.9982399530654151,0.8338195843680848,0.8106150166503759,6806.0,12.0,207.0,475.0,ok,0.9868550258114409,0.9308901276301291,synthetic_scalability,n_samples=25000,scalability,25000,10,2,0.9803,0.0367,1.0171
RF (balanced_subsample),0.5,0.9626666666666667,0.8013194330343433,0.976303317535545,0.6041055718475073,0.7463768115942029,0.9985332942211792,0.7766720844180386,0.7519107923426548,6808.0,10.0,270.0,412.0,ok,0.9919553768745661,0.9401247435109253,synthetic_scalability,n_samples=25000,scalability,25000,10,2,0.9498,0.0373,0.987
Class weight LogisticRegression,0.5,0.8528,0.8484389691251981,0.3657760814249364,0.843108504398827,0.5102040816326531,0.8537694338515693,0.8484222241761645,0.492262817732664,5821.0,997.0,107.0,575.0,ok,0.926059963749571,0.6896697237167613,synthetic_scalability,n_samples=25000,scalability,25000,10,2,0.0184,0.0023,0.0207
Custom weighted log-loss LR,0.5,0.9097333333333333,0.8428041952086465,0.5024201355275896,0.7609970674486803,0.6052478134110787,0.9246113229686125,0.838824478248554,0.571998932581113,6304.0,514.0,163.0,519.0,ok,0.9246304632639667,0.7075491155859686,synthetic_scalability,n_samples=25000,scalability,25000,10,2,0.0199,0.0018,0.0217
Random Oversampling + RF,0.5,0.9730666666666666,0.8670816168001039,0.9562737642585551,0.7375366568914956,0.8327814569536424,0.9966265767087122,0.8573497731701801,0.8265696859904704,6795.0,23.0,179.0,503.0,ok,0.9926141041180453,0.9416760079246025,synthetic_scalability,n_samples=25000,scalability,25000,10,2,1.1277,0.0263,1.154
Random Undersampling + RF,0.5,0.9322666666666667,0.9350339664971712,0.5786618444846293,0.9384164222873901,0.7158836689038032,0.9316515107069522,0.9350278485137542,0.7055210387671254,6352.0,466.0,42.0,640.0,ok,0.9825152326642689,0.8816906138659522,synthetic_scalability,n_samples=25000,scalability,25000,10,2,0.2017,0.0268,0.2285
SMOTE + RF,0.5,0.9752,0.9322558278973461,0.8522727272727273,0.8797653958944281,0.8658008658008658,0.984746259900264,0.9307769245080764,0.8522725955868539,6714.0,104.0,82.0,600.0,ok,0.9920060233864301,0.9401911963049414,synthetic_scalability,n_samples=25000,scalability,25000,10,2,1.6403,0.0372,1.6775
Borderline-SMOTE + RF,0.5,0.9746666666666667,0.9227252511679882,0.861764705882353,0.8592375366568915,0.8604992657856094,0.9862129656790848,0.9205385376230505,0.8465687414199168,6724.0,94.0,96.0,586.0,ok,0.9902498475228158,0.9234043237890313,synthetic_scalability,n_samples=25000,scalability,25000,10,2,1.835,0.0374,1.8724
ADASYN + RF,0.5,0.9745333333333334,0.9325489539936118,0.8452883263009845,0.8812316715542522,0.8628858578607322,0.9838662364329716,0.9311359128062985,0.8490792798047543,6708.0,110.0,81.0,601.0,ok,0.9901861899113009,0.9283056477670945,synthetic_scalability,n_samples=25000,scalability,25000,10,2,1.7759,0.0368,1.8128
SMOTE-Tomek + RF,0.5,0.9752,0.9322558278973461,0.8522727272727273,0.8797653958944281,0.8658008658008658,0.984746259900264,0.9307769245080764,0.8522725955868539,6714.0,104.0,82.0,600.0,ok,0.9920060233864301,0.9401911963049414,synthetic_scalability,n_samples=25000,scalability,25000,10,2,2.4211,0.0365,2.4576
SMOTE-ENN + RF,0.5,0.9716,0.932914985259822,0.8173207036535859,0.8856304985337243,0.8501055594651654,0.9801994719859196,0.9317159154148775,0.8352675574802431,6683.0,135.0,78.0,604.0,ok,0.9906902893754586,0.9252974383799326,synthetic_scalability,n_samples=25000,scalability,25000,10,2,2.4535,0.0382,2.4917
Balanced Bagging,0.5,0.9422666666666667,0.9253586547254163,0.6263959390862944,0.9046920821114369,0.740251949610078,0.9460252273393958,0.9251278466523551,0.7241534931170727,6450.0,368.0,65.0,617.0,ok,0.9765951823231415,0.8524218955642532,synthetic_scalability,n_samples=25000,scalability,25000,10,2,0.4922,1.7668,2.259
Balanced Random Forest,0.5,0.958,0.9307132061156039,0.7141190198366394,0.8973607038123167,0.7953216374269005,0.9640657084188912,0.9301154136063415,0.7785138301729577,6573.0,245.0,70.0,612.0,ok,0.9855189686778745,0.9091663799462298,synthetic_scalability,n_samples=25000,scalability,25000,10,2,0.4232,0.0262,0.4495
EasyEnsemble,0.5,0.8501333333333333,0.8535702887560872,0.3629032258064516,0.8577712609970675,0.5100261551874455,0.849369316515107,0.8535599508408186,0.49494851463216766,5791.0,1027.0,97.0,585.0,ok,0.9310981626176698,0.7018202958705534,synthetic_scalability,n_samples=25000,scalability,25000,10,2,1.1176,0.2056,1.3232
RUSBoost,0.5,0.7389333333333333,0.6644069648308901,0.18999028182701652,0.5733137829912024,0.2854014598540146,0.7555001466705779,0.6581326972109175,0.21186974274800677,5151.0,1667.0,291.0,391.0,ok,0.748636307720894,0.2476228072125373,synthetic_scalability,n_samples=25000,scalability,25000,10,2,0.0567,0.0027,0.0594
