metric,rank,method,dataset,scenario,value,source
pr_auc,1,Baseline RF,synthetic,feature_noise:feature_noise_std=0.2,0.7933806852795912,synthetic_feature_noise
pr_auc,2,Baseline RF,synthetic,feature_noise:feature_noise_std=0.1,0.7905932113330729,synthetic_feature_noise
pr_auc,3,Baseline RF,synthetic,feature_noise:feature_noise_std=0.05,0.7905154029322301,synthetic_feature_noise
f1,1,SMOTE-ENN + RF,synthetic,feature_noise:feature_noise_std=0.2,0.7051282051282052,synthetic_feature_noise
f1,2,SMOTE-ENN + RF,synthetic,feature_noise:feature_noise_std=0.05,0.7051282051282052,synthetic_feature_noise
f1,3,SMOTE + RF,synthetic,feature_noise:feature_noise_std=0.0,0.6666666666666666,synthetic_feature_noise
recall,1,Random Undersampling + RF,synthetic,feature_noise:feature_noise_std=0.0,0.9333333333333332,synthetic_feature_noise
recall,2,Random Undersampling + RF,synthetic,feature_noise:feature_noise_std=0.05,0.9333333333333332,synthetic_feature_noise
recall,3,Random Undersampling + RF,synthetic,feature_noise:feature_noise_std=0.1,0.9333333333333332,synthetic_feature_noise
precision,1,Baseline RF,synthetic,feature_noise:feature_noise_std=0.0,1.0,synthetic_feature_noise
precision,2,RF (balanced_subsample),synthetic,feature_noise:feature_noise_std=0.0,1.0,synthetic_feature_noise
precision,3,Random Oversampling + RF,synthetic,feature_noise:feature_noise_std=0.0,1.0,synthetic_feature_noise
mcc,1,SMOTE-ENN + RF,synthetic,feature_noise:feature_noise_std=0.2,0.7088816985925575,synthetic_feature_noise
mcc,2,SMOTE-ENN + RF,synthetic,feature_noise:feature_noise_std=0.05,0.7088816985925575,synthetic_feature_noise
mcc,3,SMOTE + RF,synthetic,feature_noise:feature_noise_std=0.0,0.6794075521331602,synthetic_feature_noise
g_mean,1,Balanced Random Forest,synthetic,feature_noise:feature_noise_std=0.1,0.925418824100742,synthetic_feature_noise
g_mean,2,Balanced Random Forest,synthetic,feature_noise:feature_noise_std=0.05,0.9180763571353224,synthetic_feature_noise
g_mean,3,Random Undersampling + RF,synthetic,feature_noise:feature_noise_std=0.05,0.909241985202136,synthetic_feature_noise
