dataset,method,threshold,balanced_accuracy,precision,recall,f1,g_mean,mcc,roc_auc,pr_auc,accuracy,tn,fp,fn,tp,status,scenario,seed
Credit Card Fraud Detection,Class weight LogisticRegression,0.5,0.9568212784564857,0.05996548748921484,0.9391891891891891,0.11273317112733171,0.9566588045563443,0.23385487084576131,0.9899744210474617,0.7809579018721928,0.9743922849150896,83116.0,2179.0,9.0,139.0,ok,real_repeated_split,2
Credit Card Fraud Detection,Custom weighted log-loss LR,0.5,0.9187371966608733,0.8,0.8378378378378378,0.8184818481848185,0.9151684709769573,0.8183787935835785,0.9908475038142663,0.8249896386586338,0.9993562960102056,85264.0,31.0,24.0,124.0,ok,real_repeated_split,2
Credit Card Fraud Detection,Random Oversampling + RF,0.5,0.9188485748190303,0.9117647058823529,0.8378378378378378,0.8732394366197183,0.9152704321350752,0.8738117761892708,0.9610410134620229,0.8659224025301198,0.9995786664794073,85283.0,12.0,24.0,124.0,ok,real_repeated_split,2
Credit Card Fraud Detection,Random Undersampling + RF,0.5,0.9498846610254079,0.04719562243502052,0.9324324324324325,0.08984375,0.9497243226160382,0.2058060625096876,0.9875599865649107,0.7779178851598592,0.9672764299006356,82509.0,2786.0,10.0,138.0,ok,real_repeated_split,2
Credit Card Fraud Detection,SMOTE + RF,0.5,0.9288899178209806,0.8193548387096774,0.8581081081081081,0.8382838283828383,0.926189189552134,0.8382212431219895,0.9687894794378176,0.8747199472440468,0.9994265182636377,85267.0,28.0,21.0,127.0,ok,real_repeated_split,2
Credit Card Fraud Detection,Borderline-SMOTE + RF,0.5,0.9222093671724365,0.8928571428571429,0.8445945945945946,0.8680555555555556,0.9189374646722571,0.8681691196723956,0.9635103844685297,0.8635607671292476,0.9995552590615966,85280.0,15.0,23.0,125.0,ok,real_repeated_split,2
Credit Card Fraud Detection,ADASYN + RF,0.5,0.9289016418376287,0.8300653594771242,0.8581081081081081,0.8438538205980066,0.9262000517116858,0.8436951959943952,0.9759591513079408,0.8805679209439977,0.9994499256814484,85269.0,26.0,21.0,127.0,ok,real_repeated_split,2
Credit Card Fraud Detection,SMOTE-Tomek + RF,0.5,0.9288957798293047,0.8246753246753247,0.8581081081081081,0.8410596026490066,0.9261946206478334,0.8409449007485644,0.9657543850198753,0.8732384501694836,0.9994382219725431,85268.0,27.0,21.0,127.0,ok,real_repeated_split,2
Credit Card Fraud Detection,SMOTE-ENN + RF,0.5,0.9289075038459528,0.8355263157894737,0.8581081081081081,0.8466666666666667,0.9262054827436916,0.8464725661915289,0.9700867260366645,0.8614353580634916,0.9994616293903538,85270.0,25.0,21.0,127.0,ok,real_repeated_split,2
Credit Card Fraud Detection,Balanced Bagging,0.5,0.9505803784322455,0.06149012567324955,0.9256756756756757,0.11531986531986532,0.9502540774135083,0.23514541419666576,0.9857854219774613,0.7345064692035642,0.9753988038809499,83204.0,2091.0,11.0,137.0,ok,real_repeated_split,2
Credit Card Fraud Detection,Balanced Random Forest,0.5,0.9504594150983154,0.12340036563071298,0.9121621621621622,0.21739130434782608,0.9496875381758866,0.3332189400808348,0.9859313384549331,0.7744427901835811,0.9886239949439978,84336.0,959.0,13.0,135.0,ok,real_repeated_split,2
