dataset,scenario,experiment,n_samples,method,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,specificity_mean,specificity_std,g_mean_mean,g_mean_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,n_ok,n_error,n_skipped,n_other_status,n_total
synthetic_scalability,n_samples=10000,scalability,10000,ADASYN + RF,0.9637777777777777,0.003097191081059212,0.874594174924208,0.026518456074897438,0.8245532298274628,0.013918737804597504,0.7655677655677655,0.05531014238293589,0.7930079528541781,0.0252778334960161,0.9836205842806502,0.0024960980145046253,0.867371833239595,0.03025242986118275,0.7744084834389646,0.02554326575741357,0.9831126173260386,0.004378890090107683,0.8774163061533248,0.025971051580700066,2682.3333333333335,6.806859285554065,44.666666666666664,6.8068592855540455,64.0,15.0996688705415,209.0,15.0996688705415,3,0,0,0,3
synthetic_scalability,n_samples=10000,scalability,10000,Balanced Bagging,0.9262222222222222,0.005872093449655035,0.885251406703552,0.019430006773345335,0.5641947386753835,0.022442467977684323,0.8351648351648352,0.03876558697530535,0.6732131234901438,0.024331210673074498,0.9353379782422687,0.005368583609827151,0.8836717925132188,0.02043480909013729,0.6490430363415444,0.0283080188548051,0.96006157392296,0.010328084557627838,0.76827806397533,0.0231105048749755,2550.6666666666665,14.640127503998439,176.33333333333334,14.640127503998496,45.0,10.583005244258363,228.0,10.583005244258363,3,0,0,0,3
synthetic_scalability,n_samples=10000,scalability,10000,Balanced Random Forest,0.9538888888888889,0.0032885885748774922,0.9037658955150704,0.019888422977835447,0.7098769381955817,0.03998377314238516,0.8424908424908425,0.04803984266887915,0.7688997003267134,0.004226222181538653,0.9650409485392983,0.008340653763223033,0.9013607943705159,0.02197094581142175,0.7479155685414954,0.004451490692119578,0.9756641516817535,0.006005020805385287,0.8632345299118377,0.009079597773873873,2631.6666666666665,22.744962812309293,95.33333333333333,22.744962812309307,43.0,13.114877048604,230.0,13.114877048604,3,0,0,0,3
synthetic_scalability,n_samples=10000,scalability,10000,Baseline RF,0.952,0.008621678104251681,0.7390106532020724,0.04722187437557783,0.9869263089851326,0.005851448284489474,0.47863247863247865,0.09441269070682935,0.6410229873962555,0.08805901363983107,0.999388827771666,0.0002117162703298645,0.6892958739189025,0.06942359305343665,0.6674083717998878,0.07155050675232132,0.9737294445765293,0.008441658466636597,0.8696263071196396,0.030643143142928406,2725.3333333333335,0.5773502691895601,1.6666666666666667,0.5773502691896258,142.33333333333334,25.77466456296441,130.66666666666666,25.77466456296441,3,0,0,0,3
synthetic_scalability,n_samples=10000,scalability,10000,Borderline-SMOTE + RF,0.9627777777777778,0.0031505437508350864,0.8586613850640253,0.032888387539091166,0.8404970760233917,0.019678517050372327,0.7313797313797314,0.06924271979857301,0.7803672051213305,0.029931366031038964,0.9859430387483193,0.0034659447203905834,0.8485057444047571,0.03827719141048381,0.7634021386168701,0.02844046923281149,0.9813126815327035,0.004565030943742652,0.8717340996721665,0.02483881756589024,2688.6666666666665,9.451631252505237,38.333333333333336,9.451631252505218,73.33333333333333,18.903262505010435,199.66666666666666,18.90326250501043,3,0,0,0,3
synthetic_scalability,n_samples=10000,scalability,10000,Class weight LogisticRegression,0.8162222222222222,0.03993374141880149,0.8016712538164684,0.06479848467082208,0.30728388843267557,0.06467522471909415,0.7838827838827839,0.09876533892097265,0.4407892018689375,0.08118524224329107,0.8194597237501527,0.03539462957415989,0.8008648072970378,0.06601436353616046,0.41181690823670497,0.09966460924145358,0.8744200020327634,0.0705833040070371,0.5547054715760709,0.09699127435233895,2234.6666666666665,96.52115484873428,492.3333333333333,96.52115484873423,59.0,26.962937525425527,214.0,26.962937525425527,3,0,0,0,3
synthetic_scalability,n_samples=10000,scalability,10000,Custom weighted log-loss LR,0.8945555555555554,0.0030245905752924944,0.7898205571472898,0.05689085058028068,0.44467031777059324,0.019876392647979968,0.6617826617826618,0.12347818188128441,0.5300089657253756,0.0548375795914689,0.9178584525119179,0.009921341590369389,0.7767278685774683,0.0705367462880013,0.48642273911596723,0.0667138846823291,0.8733579503656511,0.07310397890825504,0.5833816434396976,0.0813554151149871,2503.0,27.055498516937366,224.0,27.055498516937366,92.33333333333333,33.70954365359064,180.66666666666666,33.70954365359065,3,0,0,0,3
synthetic_scalability,n_samples=10000,scalability,10000,EasyEnsemble,0.807,0.05296644640189147,0.7987960578719654,0.07093664000799135,0.29941283810429037,0.07237775545745455,0.7887667887667887,0.09334073188579438,0.43304677877432013,0.09101263478260355,0.8088253269771423,0.0490510549524997,0.7984836663715417,0.07143073734104399,0.4040617975886697,0.1110960581998572,0.8764612725008765,0.06670898795642925,0.5480406666764055,0.11735389251651343,2205.6666666666665,133.76222685546674,521.3333333333334,133.7622268554667,57.666666666666664,25.482019804821856,215.33333333333334,25.482019804821856,3,0,0,0,3
synthetic_scalability,n_samples=10000,scalability,10000,RF (balanced_subsample),0.9443333333333334,0.008144527815247014,0.699083644628199,0.04840525953049934,0.9760005827148378,0.023554598575763294,0.39926739926739924,0.09767246612434713,0.5612597419262046,0.09973939171589268,0.9988998899889988,0.0012702976219793392,0.6281145010268959,0.0797864547351151,0.6016166843938845,0.07463203515200548,0.9831296316444832,0.003029253746811496,0.8913541122592537,0.00985286112200708,2724.0,3.4641016151377544,3.0,3.4641016151377544,164.0,26.664583251946766,109.0,26.664583251946766,3,0,0,0,3
synthetic_scalability,n_samples=10000,scalability,10000,RUSBoost,0.8162222222222222,0.01567848254184103,0.6368562375163035,0.05738675986019905,0.22095026852534005,0.029547884061628168,0.4175824175824176,0.14509378989258864,0.28647533155826405,0.060562404731812236,0.8561300574501894,0.03118775411850159,0.5899850669811669,0.09852795704624695,0.20711351608556627,0.0709459892096049,0.7253911390325031,0.07781157111314498,0.2280055473562291,0.07755525602002292,2334.6666666666665,85.04900548115383,392.3333333333333,85.04900548115383,159.0,39.61060464067672,114.0,39.61060464067672,3,0,0,0,3
