source,method,f1_mean,f1_std,pr_auc_mean,pr_auc_std,recall_mean,precision_mean,mcc_mean,g_mean_mean,rank_f1,rank_pr_auc
synthetic_ir,ADASYN + RF,0.1461988304093567,0.1703953483547773,0.0724392932147882,0.0718370451028986,0.1111111111111111,0.2314814814814814,0.1573280172359628,0.2581615915304719,2.0,9.0
synthetic_ir,Balanced Bagging,0.011403957970741,0.0060228363245442,0.0284449487710045,0.0222284557099233,0.6,0.0057599835054424,0.0501490763746975,0.7211190960688633,8.0,14.0
synthetic_ir,Balanced Random Forest,0.0151177202569007,0.0077862853503923,0.0657470184506162,0.0233932165426687,0.4888888888888889,0.0076822023558541,0.0544921276799941,0.6698982560639841,7.0,10.0
synthetic_ir,Baseline RF,0.0,0.0,0.1171848354602552,0.036873214612654,0.0,0.0,0.0,0.0,14.0,2.0
synthetic_ir,Borderline-SMOTE + RF,0.0350877192982456,0.0607737125462763,0.0448048161967101,0.0420571561715268,0.0222222222222222,0.0833333333333333,0.0428022998483715,0.0860576895223542,6.0,12.0
synthetic_ir,Class weight LogisticRegression,0.0068364813880998,0.0048140883713023,0.0903787496600636,0.1131151099164765,0.5555555555555555,0.0034405994592797,0.0323079620684061,0.6639623369654841,10.0,7.0
synthetic_ir,Custom weighted log-loss LR,0.291866028708134,0.2533175405157712,0.2799524700784451,0.1891040837613828,0.1999999999999999,0.5714285714285715,0.3346111260734953,0.3645698524609719,1.0,1.0
synthetic_ir,EasyEnsemble,0.0061772282336661,0.0030986095650959,0.0473098943032291,0.0392584946657548,0.6222222222222222,0.003105387374392,0.03145047135452,0.6881746457540666,11.0,11.0
synthetic_ir,RF (balanced_subsample),0.0,0.0,0.104376117909641,0.089258184556769,0.0,0.0,0.0,0.0,14.0,3.0
synthetic_ir,RUSBoost,0.0039261994947309,0.0010965496206605,0.0024113242090911,0.0016956508278313,0.4888888888888889,0.0019725544024501,0.0165384075689915,0.5876175672440964,12.0,15.0
synthetic_ir,Random Oversampling + RF,0.0,0.0,0.1027390118228661,0.1250385676157867,0.0,0.0,0.0,0.0,14.0,4.0
