dataset,scenario,experiment,ir,seed,sampling_strategy,train_minority_majority_ratio_before,train_ir_actual,k_neighbors,method,status,threshold,accuracy,balanced_accuracy,precision,recall,f1,specificity,g_mean,mcc,tn,fp,fn,tp,roc_auc,pr_auc
synthetic,IR=1000:1,adaptive_sampling_strategy,1000,0,0.2,0.001,1000.0,5,SMOTE + RF,ok,0.5,0.998934398934399,0.49996666666666667,0.0,0.0,0.0,0.9999333333333333,0.0,-0.00025807848121136835,14999.0,1.0,15.0,0.0,0.8013577777777777,0.03892680458764658
synthetic,IR=1000:1,adaptive_sampling_strategy,1000,0,0.5,0.001,1000.0,5,SMOTE + RF,ok,0.5,0.9988677988677989,0.49993333333333334,0.0,0.0,0.0,0.9998666666666667,0.0,-0.000364990243484954,14998.0,2.0,15.0,0.0,0.8810555555555555,0.013063004487627202
synthetic,IR=1000:1,adaptive_sampling_strategy,1000,0,1.0,0.001,1000.0,5,SMOTE + RF,ok,0.5,0.9988011988011988,0.4999,0.0,0.0,0.0,0.9998,0.0,-0.00044703481732151674,14997.0,3.0,15.0,0.0,0.7393844444444444,0.006555972433356571
synthetic,IR=1000:1,adaptive_sampling_strategy,1000,1,0.05,0.001,1000.0,5,SMOTE + RF,ok,0.5,0.998934398934399,0.49996666666666667,0.0,0.0,0.0,0.9999333333333333,0.0,-0.00025807848121136835,14999.0,1.0,15.0,0.0,0.9050066666666666,0.2909936076064129
synthetic,IR=1000:1,adaptive_sampling_strategy,1000,1,0.1,0.001,1000.0,5,SMOTE + RF,ok,0.5,0.9992007992007992,0.6,1.0,0.2,0.3333333333333333,1.0,0.4472135954999579,0.44703481732151673,15000.0,0.0,12.0,3.0,0.9144355555555557,0.4127602154197271
synthetic,IR=1000:1,adaptive_sampling_strategy,1000,1,0.2,0.001,1000.0,5,SMOTE + RF,ok,0.5,0.999000999000999,0.5999,0.5,0.2,0.2857142857142857,0.9998,0.44716887190411636,0.31581680741609064,14997.0,3.0,12.0,3.0,0.9063844444444444,0.24166575113269384
synthetic,IR=1000:1,adaptive_sampling_strategy,1000,1,0.5,0.001,1000.0,5,SMOTE + RF,ok,0.5,0.999000999000999,0.5999,0.5,0.2,0.2857142857142857,0.9998,0.44716887190411636,0.31581680741609064,14997.0,3.0,12.0,3.0,0.9141777777777779,0.27137549149470164
synthetic,IR=1000:1,adaptive_sampling_strategy,1000,1,1.0,0.001,1000.0,5,SMOTE + RF,ok,0.5,0.9988677988677989,0.6331333333333333,0.4,0.26666666666666666,0.32,0.9996,0.5162944896084017,0.3260543965508873,14994.0,6.0,11.0,4.0,0.9141111111111111,0.22470885990854278
synthetic,IR=1000:1,adaptive_sampling_strategy,1000,2,0.05,0.001,1000.0,5,SMOTE + RF,ok,0.5,0.999000999000999,0.5,0.0,0.0,0.0,1.0,0.0,0.0,15000.0,0.0,15.0,0.0,0.9590777777777777,0.29402888571320196
synthetic,IR=1000:1,adaptive_sampling_strategy,1000,2,0.1,0.001,1000.0,5,SMOTE + RF,ok,0.5,0.9990675990675991,0.5333333333333333,1.0,0.06666666666666667,0.125,1.0,0.2581988897471611,0.25807848121136834,15000.0,0.0,14.0,1.0,0.9440355555555555,0.25026671157816766
synthetic,IR=1000:1,adaptive_sampling_strategy,1000,2,0.2,0.001,1000.0,5,SMOTE + RF,ok,0.5,0.999000999000999,0.5,0.0,0.0,0.0,1.0,0.0,0.0,15000.0,0.0,15.0,0.0,0.9884999999999999,0.1547154619512014
synthetic,IR=1000:1,adaptive_sampling_strategy,1000,2,0.5,0.001,1000.0,5,SMOTE + RF,ok,0.5,0.9988677988677989,0.49993333333333334,0.0,0.0,0.0,0.9998666666666667,0.0,-0.000364990243484954,14998.0,2.0,15.0,0.0,0.9341377777777777,0.06787380710283002
synthetic,IR=1000:1,adaptive_sampling_strategy,1000,2,1.0,0.001,1000.0,5,SMOTE + RF,ok,0.5,0.9987345987345987,0.4998666666666667,0.0,0.0,0.0,0.9997333333333334,0.0,-0.0005162085377184594,14996.0,4.0,15.0,0.0,0.9368933333333335,0.04772496080076706
