Method,PR-AUC,ROC-AUC,F1,Precision,Recall,G-Mean,MCC,TN,FP,FN,TP
Balanced Random Forest,0.9195566595163575,0.9877296296296296,0.8285714285714286,0.7909090909090909,0.87,0.9207424540373201,0.8096568446607512,2631,69,39,261
Balanced Bagging,0.8789865847146381,0.9785845679012346,0.7531734837799718,0.6528117359413202,0.89,0.9182551892543774,0.7321228255038278,2558,142,33,267
RF (baseline),0.930128889957523,0.9836641975308642,0.7394957983193278,1.0,0.5866666666666667,0.7659416862050705,0.7489369236329161,2700,0,124,176
