Method,PR-AUC,ROC-AUC,F1,Precision,Recall,G-Mean,MCC,TN,FP,FN,TP
SMOTE-Tomek,0.9325146417312357,0.9905944444444444,0.8615916955017301,0.89568345323741,0.83,0.9061375089825965,0.8476126107807673,2671,29,51,249
SMOTE,0.9345681626603023,0.9915858024691357,0.8586206896551725,0.8892857142857142,0.83,0.9057981951684217,0.8441265326801446,2669,31,51,249
SMOTE-ENN,0.9238143926896547,0.9898493827160494,0.8504983388704319,0.847682119205298,0.8533333333333334,0.9158575553700451,0.8338313869119506,2654,46,44,256
ADASYN,0.9115871801724287,0.9895339506172839,0.82793867120954,0.8466898954703833,0.81,0.8926365441768559,0.8095339579911244,2656,44,57,243
Borderline-SMOTE,0.9093859468401911,0.9880185185185185,0.8267581475128645,0.8515901060070671,0.8033333333333333,0.8892901871925929,0.8085524514913512,2658,42,59,241
Random Undersampling,0.9032030827939401,0.9851074074074075,0.7523939808481532,0.6380510440835266,0.9166666666666666,0.9293566073922882,0.7346133335349991,2544,156,25,275
Random Oversampling,0.9346677794329649,0.9899327160493827,0.7396694214876033,0.9728260869565217,0.5966666666666667,0.771726459566511,0.7437021713602767,2695,5,121,179
Original,0.9301221796288986,0.983727160493827,0.7379454926624738,0.9943502824858758,0.5866666666666667,0.765799832016206,0.746478988412504,2699,1,124,176
