Method,PR-AUC,ROC-AUC,F1,Precision,Recall,G-Mean,MCC,TN,FP,FN,TP
LR (no weights),0.7227639518120257,0.8914333333333332,0.6282051282051282,0.875,0.49,0.6972724638825837,0.6291996380779623,2679,21,153,147
LR (class_weight='balanced'),0.6937157546478167,0.8979814814814815,0.5043290043290043,0.3733974358974359,0.7766666666666666,0.8149808753341969,0.4670272905358217,2309,391,67,233
"LR (sample_weight: C10=5, C01=1)",0.7070400274770647,0.8967469135802469,0.605890603085554,0.5230024213075061,0.72,0.8169863319950137,0.5633760883647861,2503,197,84,216
RF (balanced_subsample),0.9389343450153494,0.9917234567901235,0.6473214285714286,0.9797297297297297,0.48333333333333334,0.6948354454806521,0.6680117648506263,2697,3,155,145
